Timestamp(ms),Current(uA),D0-D7
21612,205084.422,11111111
21613,203489.094,11111111
21614,204457.375,11111111
21615,207005.984,11111111
21616,214609.906,11111111
21617,215760.641,11111111
21618,218782.203,11111111
21619,222404.406,11111111
21620,221084.313,11111111
21621,225367.688,11111111
21622,225020.891,11111111
21623,221742.766,11111111
21624,214526.891,11111111
21625,216096.734,11111111
21626,214917.188,11111111
21627,212788.406,11111111
21628,206818.609,11111111
21629,208775.328,11111111
21630,204518.891,11111111
21631,214455.156,11111111
21632,216532.875,11111111
21633,217809.734,11111111
21634,219462.625,11111111
21635,223988.469,11111111
21636,224888.234,11111111
21637,227806.750,11111111
21638,231033.688,11111111
21639,225515.094,11111111
21640,247600.688,11111111
21641,266529.156,11111111
21642,246323.078,11111111
21643,220638.438,11111111
21644,210802.891,11111111
21645,209610.438,11111111
21646,205318.281,11111111
21647,201306.438,11111111
21648,200330.500,11111111
21649,207794.234,11111111
21650,206395.047,11111111
21651,208403.031,11111111
21652,205469.766,11111111
21653,202770.844,11111111
21654,204236.203,11111111
21655,208890.297,11111111
21656,217719.266,11111111
21657,216707.375,11111111
21658,218517.547,11111111
21659,222670.609,11111111
21660,220625.828,11111111
21661,227194.984,11111111
21662,225453.641,11111111
21663,221377.641,11111111
21664,214943.734,11111111
21665,215703.203,11111111
21666,214701.438,11111111
21667,212305.375,11111111
21668,209207.141,11111111
21669,212865.594,11111111
21670,207166.453,11111111
21671,206158.266,11111111
21672,202276.484,11111111
21673,200149.125,11111111
21674,201572.094,11111111
21675,222531.609,11111111
21676,223723.188,11111111
21677,231842.750,11111111
21678,224275.563,11111111
21679,233670.813,11111111
21680,247878.859,11111111
21681,266121.125,11111111
21682,247457.313,11111111
21683,221391.250,11111111
21684,217009.203,11111111
21685,230212.703,11111111
21686,217164.000,11111111
21687,206097.469,11111111
21688,201070.406,11111111
21689,206533.344,11111111
21690,203818.844,11111111
21691,207118.266,11111111
21692,206189.797,11111111
21693,202824.234,11111111
21694,211247.172,11111111
21695,226734.844,11111111
21696,224158.828,11111111
21697,218686.703,11111111
21698,220613.406,11111111
