Timestamp(ms),Current(uA),D0-D7
992,81746.703,11111111
993,82479.953,11111111
994,82303.359,11111111
995,82118.250,11111111
996,82070.711,11111111
997,82047.844,11111111
998,82053.867,11111111
999,80115.555,11111111
1000,81340.195,11111111
1001,81279.969,11111111
1002,82028.938,11111111
1003,81838.703,11111111
1004,82539.680,11111111
1005,82458.625,11111111
1006,77989.102,11111111
1007,72135.758,11111111
1008,73831.188,11111111
1009,78795.031,11111111
1010,81916.953,11111111
1011,83264.266,11111111
1012,83334.594,11111111
1013,83490.711,11111111
1014,83802.242,11111111
1015,84237.609,11111111
1016,90329.680,11111111
1017,92149.664,11111111
1018,92742.508,11111111
1019,93319.852,11111111
1020,93531.914,11111111
1021,93591.930,11111111
1022,93529.875,11111111
1023,93591.000,11111111
1024,93602.219,11111111
1025,93738.234,11111111
1026,93460.992,11111111
1027,93426.977,11111111
1028,93467.828,11111111
1029,93631.320,11111111
1030,93568.859,11111111
1031,93775.570,11111111
1032,93451.203,11111111
1033,93605.406,11111111
1034,93728.875,11111111
1035,93931.883,11111111
1036,93729.313,11111111
1037,93590.320,11111111
1038,93575.906,11111111
1039,93389.195,11111111
1040,92432.547,11111111
1041,147753.063,11111111
1042,191300.016,11111111
1043,210644.531,11111111
1044,216378.094,11111111
1045,217784.578,11111111
1046,219776.734,11111111
1047,221387.188,11111111
1048,221334.109,11111111
1049,222023.359,11111111
1050,224008.281,11111111
1051,223848.641,11111111
1052,204685.313,11111111
1053,234205.094,11111111
1054,244917.156,11111111
1055,243951.500,11111111
1056,250740.641,11111111
1057,246149.609,11111111
1058,254607.719,11111111
1059,263883.375,11111111
1060,273716.000,11111111
1061,258071.375,11111111
1062,264598.469,11111111
1063,272821.813,11111111
1064,268222.875,11111111
1065,273654.531,11111111
1066,275181.125,11111111
1067,261540.531,11111111
1068,268931.813,11111111
1069,272058.438,11111111
1070,273044.250,11111111
1071,243776.094,11111111
1072,268377.375,11111111
1073,277186.188,11111111
1074,280987.094,11111111
1075,272872.938,11111111
1076,275166.719,11111111
1077,276380.219,11111111
1078,267038.031,11111111
1079,273643.219,11111111
1080,275114.625,11111111
1081,276088.688,11111111
1082,232394.406,11111111
1083,185687.938,11111111
1084,147588.484,11111111
1085,135313.781,11111111
1086,131592.141,11111111
1087,128286.063,11111111
1088,141325.703,11111111
1089,178073.016,11111111
1090,180142.641,11111111
1091,177042.078,11111111
1092,173754.953,11111111
1093,153572.125,11111111
1094,128317.914,11111111
1095,118998.563,11111111
1096,115433.914,11111111
1097,114058.516,11111111
1098,113678.148,11111111
1099,115277.484,11111111
1100,120508.531,11111111
1101,122991.969,11111111
1102,123445.164,11111111
1103,125639.383,11111111
1104,126660.766,11111111
1105,126693.563,11111111
1106,126429.180,11111111
1107,126358.930,11111111
1108,126414.328,11111111
1109,127074.328,11111111
1110,131332.422,11111111
1111,135809.641,11111111
1112,137252.203,11111111
1113,137548.281,11111111
1114,141776.688,11111111
1115,145737.156,11111111
1116,193073.078,11111111
1117,191228.156,11111111
1118,159540.656,11111111
1119,158625.016,11111111
1120,171595.391,11111111
1121,144172.578,11111111
1122,126603.930,11111111
1123,120359.461,11111111
1124,123833.648,11111111
1125,118821.922,11111111
1126,116971.398,11111111
1127,116674.953,11111111
1128,116452.195,11111111
1129,116616.797,11111111
1130,116493.273,11111111
1131,116403.852,11111111
1132,116584.227,11111111
1133,116358.344,11111111
1134,116267.680,11111111
1135,116316.844,11111111
1136,116405.516,11111111
1137,116513.805,11111111
1138,116601.094,11111111
1139,116716.695,11111111
1140,116658.305,11111111
1141,116367.656,11111111
1142,116423.617,11111111
1143,116410.773,11111111
1144,116218.211,11111111
1145,116425.539,11111111
1146,116407.383,11111111
1147,116407.031,11111111
1148,116628.922,11111111
1149,116342.484,11111111
1150,118640.938,11111111
1151,117352.734,11111111
1152,116907.078,11111111
1153,116652.586,11111111
1154,116740.023,11111111
1155,116762.547,11111111
1156,116731.781,11111111
1157,116632.070,11111111
1158,116815.586,11111111
1159,116870.531,11111111
1160,117432.773,11111111
1161,117020.641,11111111
1162,116770.266,11111111
1163,116640.016,11111111
1164,116664.367,11111111
1165,116783.711,11111111
1166,116806.102,11111111
1167,116924.641,11111111
1168,116962.008,11111111
1169,116719.297,11111111
1170,116687.453,11111111
1171,116955.414,11111111
1172,117122.531,11111111
1173,116678.375,11111111
1174,117380.516,11111111
1175,117612.516,11111111
1176,116855.477,11111111
1177,116695.680,11111111
1178,116624.281,11111111
1179,116399.984,11111111
1180,116747.102,11111111
1181,117045.281,11111111
1182,117158.453,11111111
1183,117011.125,11111111
1184,116955.711,11111111
1185,116489.898,11111111
1186,118214.305,11111111
1187,117617.281,11111111
1188,117295.109,11111111
1189,117025.133,11111111
1190,116680.805,11111111
